Name,Assign,Date,Phase,Status,Status 1
Phase0.1 - Setup Enviroment,R.Smith,"May 16, 2023",Phase0.1 Setup Enviroment,Done,Done
Phase0.2 - Base Dataset,R.Smith,"May 16, 2023",Phase0.2 - Dataset,In progress,In progress
